actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-08T01:10:24.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-08T01:10:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-08T01:10:27.0Z,1,REGULAR,jumpball,recovered,[],1629020,,,1610612750,0,0,2022-01-08T01:10:27Z,40000,,,0,,Jump Ball K. Towns vs. J. Robinson-Earl: Tip to J. Vanderbilt,"[1629020, 1626157, 1630526]",1610612750.0,MIN,startperiod,J. Vanderbilt,1629020.0,Vanderbilt,J. Vanderbilt,Towns,1626157.0,Robinson-Earl,1630526.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-01-08T01:10:38.4Z,1,REGULAR,turnover,lost ball,[],1626156,,,1610612750,0,0,2022-01-08T01:10:45Z,70000,,,0,,D. Russell lost ball TURNOVER (1 TO),"[1626156, 1630598]",1610612750.0,MIN,,,,Russell,D. Russell,,,,,1.0,Wiggins,1630598.0,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-01-08T01:10:38.4Z,1,REGULAR,steal,,[],1630598,,,1610612760,0,0,2022-01-08T01:10:40Z,80000,,,0,,A. Wiggins STEAL (1 STL),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-01-08T01:11:01.9Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612760,0,0,2022-01-08T01:11:14Z,90000,,,0,,J. Vanderbilt shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1629020, 1630598]",1610612750.0,MIN,shooting,,,Vanderbilt,J. Vanderbilt,,,,,,,,201639.0,1.0,0.0,Wiggins,1630598.0,,,,,,,,,,,,,
11,PT11M23.00S,2022-01-08T01:11:28.4Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1630598,,,1610612760,1,0,2022-01-08T01:11:28Z,110000,,,0,,A. Wiggins Free Throw 1 of 2 (1 PTS),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
12,PT11M23.00S,2022-01-08T01:11:45.7Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1630598,,,1610612760,2,0,2022-01-08T01:11:45Z,120000,,,0,,A. Wiggins Free Throw 2 of 2 (2 PTS),[1630598],1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,
13,PT11M11.00S,2022-01-08T01:11:59.2Z,1,REGULAR,3pt,Jump Shot,[],1630183,68.41327201051249,28.921568627450984,1610612750,2,0,2022-01-08T01:12:35Z,130000,-105.0,244.0,1,right,MISS J. McDaniels 26' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,Missed,,26.62,,,,,,,,,,
14,PT11M09.00S,2022-01-08T01:12:01.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,2,0,2022-01-08T01:12:51Z,140000,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
17,PT11M03.00S,2022-01-08T01:12:33.1Z,1,REGULAR,foul,personal,['2freethrow'],1630183,,,1610612760,2,0,2022-01-08T01:12:46Z,170000,,,0,,J. McDaniels shooting personal FOUL (1 PF) (Gilgeous-Alexander 2 FT),"[1630183, 1628983]",1610612750.0,MIN,shooting,,,McDaniels,J. McDaniels,,,,,,,,201639.0,1.0,0.0,Gilgeous-Alexander,1628983.0,,,,,,,,,,,,,
19,PT11M03.00S,2022-01-08T01:12:50.3Z,1,REGULAR,freethrow,1 of 2,[],1628983,,,1610612760,3,0,2022-01-08T01:12:50Z,190000,,,0,,S. Gilgeous-Alexander Free Throw 1 of 2 (1 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
20,PT11M03.00S,2022-01-08T01:12:51.0Z,1,REGULAR,freethrow,2 of 2,[],1628983,,,1610612760,4,0,2022-01-08T01:12:51Z,200000,,,0,,S. Gilgeous-Alexander Free Throw 2 of 2 (2 PTS),[1628983],1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,
21,PT10M53.00S,2022-01-08T01:13:03.1Z,1,REGULAR,turnover,out-of-bounds,[],1626157,,,1610612750,4,0,2022-01-08T01:13:10Z,210000,,,0,,K. Towns bad pass out-of-bounds TURNOVER (1 TO),[1626157],1610612750.0,MIN,bad pass,,,Towns,K. Towns,,,,,1.0,,,1629422.0,,,,,,,,,,,,,,,,,
22,PT10M52.00S,2022-01-08T01:13:10.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612760,4,0,2022-01-08T01:13:10Z,220000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PT10M40.00S,2022-01-08T01:13:21.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630526,29.517082785808146,78.67647058823529,1610612760,4,0,2022-01-08T01:13:25Z,230000,-143.0,225.0,1,left,MISS J. Robinson-Earl 26' 3PT,[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,Missed,,26.68,,,,,,,,,,
24,PT10M36.00S,2022-01-08T01:13:25.0Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,4,0,2022-01-08T01:13:25Z,240000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,23.0,1.0,1.0,0.0,,,,,,
25,PT10M30.00S,2022-01-08T01:13:30.5Z,1,REGULAR,3pt,Jump Shot,[],1630183,74.58935611038108,87.00980392156863,1610612750,4,0,2022-01-08T01:13:36Z,250000,185.0,186.0,1,right,MISS J. McDaniels 26' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,Missed,,26.26,,,,,,,,,,
26,PT10M27.00S,2022-01-08T01:13:33.5Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,4,0,2022-01-08T01:13:36Z,260000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,
27,PT10M27.00S,2022-01-08T01:13:35.9Z,1,REGULAR,turnover,out-of-bounds,[],1630526,,,1610612760,4,0,2022-01-08T01:13:43Z,270000,,,0,,J. Robinson-Earl lost ball out-of-bounds TURNOVER (1 TO),[1630526],1610612760.0,OKC,lost ball,,,Robinson-Earl,J. Robinson-Earl,,,,,1.0,,,201639.0,,,,,,,,,,,,,,,,,
28,PT10M27.00S,2022-01-08T01:13:41.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,4,0,2022-01-08T01:13:41Z,280000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M23.00S,2022-01-08T01:13:53.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626156,83.52496714848883,30.14705882352941,1610612750,4,2,2022-01-08T01:13:58Z,290000,-99.0,102.0,1,right,D. Russell 14' pullup Jump Shot (2 PTS) (K. Towns 1 AST),"[1626156, 1626157]",1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,,,,,,,,,Made,2.0,14.26,,,,,K. Towns,1626157.0,1.0,,,
31,PT10M03.00S,2022-01-08T01:14:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628983,9.411957950065702,62.5,1610612760,4,2,2022-01-08T01:14:19Z,310000,-62.0,36.0,1,left,MISS S. Gilgeous-Alexander 7' driving Layup,[1628983],1610612760.0,OKC,driving,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,Missed,,7.21,,,,,,,,,,
32,PT09M59.00S,2022-01-08T01:14:16.8Z,1,REGULAR,rebound,defensive,[],1626156,,,1610612750,4,2,2022-01-08T01:14:19Z,320000,,,0,,D. Russell REBOUND (Off:0 Def:1),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,
33,PT09M52.00S,2022-01-08T01:14:24.4Z,1,REGULAR,3pt,Jump Shot,[],1630162,85.23324572930355,4.6568627450980395,1610612750,4,5,2022-01-08T01:14:29Z,330000,-227.0,86.0,1,right,A. Edwards 24' 3PT  (3 PTS) (K. Towns 2 AST),"[1630162, 1626157]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,3.0,24.26,,,,,K. Towns,1626157.0,2.0,,,
35,PT09M36.00S,2022-01-08T01:14:40.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,15.325229960578188,57.84313725490197,1610612760,4,5,2022-01-08T01:14:46Z,350000,-39.0,92.0,1,left,MISS S. Gilgeous-Alexander 9' driving floating Shot,[1628983],1610612760.0,OKC,driving floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,,,,,,,,,Missed,,9.96,,,,,,,,,,
36,PT09M33.00S,2022-01-08T01:14:43.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612750,4,5,2022-01-08T01:14:46Z,360000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,35.0,1.0,1.0,0.0,,,,,,
37,PT09M28.00S,2022-01-08T01:14:47.7Z,1,REGULAR,3pt,Jump Shot,[],1630162,66.70499342969777,66.42156862745098,1610612750,4,8,2022-01-08T01:14:56Z,370000,82.0,260.0,1,right,A. Edwards 27' 3PT pullup (6 PTS) (D. Russell 1 AST),"[1630162, 1626156]",1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,6.0,27.31,,,,,D. Russell,1626156.0,1.0,,,
39,PT09M09.00S,2022-01-08T01:15:07.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,8.229303547963205,37.745098039215684,1610612760,6,8,2022-01-08T01:15:11Z,390000,61.0,25.0,1,left,J. Giddey 6' driving Layup (2 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,,,,,,,,,Made,2.0,6.62,,,,,,,,,,
40,PT08M55.00S,2022-01-08T01:15:20.4Z,1,REGULAR,3pt,Jump Shot,[],1630162,65.65374507227332,17.892156862745097,1610612750,6,11,2022-01-08T01:15:26Z,400000,-161.0,270.0,1,right,A. Edwards 31' 3PT  (9 PTS) (D. Russell 2 AST),"[1630162, 1626156]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,Made,9.0,31.44,,,,,D. Russell,1626156.0,2.0,,,
42,PT08M33.00S,2022-01-08T01:15:42.3Z,1,REGULAR,3pt,Jump Shot,[],1629652,31.09395532194481,26.96078431372549,1610612760,9,11,2022-01-08T01:21:12Z,420000,115.0,240.0,1,left,L. Dort 26' 3PT pullup (3 PTS) (A. Wiggins 1 AST),"[1629652, 1630598]",1610612760.0,OKC,pullup,,,Dort,L. Dort,,,,,,,,,,,,,Made,3.0,26.6,,,,,A. Wiggins,1630598.0,1.0,,,
44,PT08M21.00S,2022-01-08T01:15:55.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630183,89.96386333771353,56.61764705882353,1610612750,9,11,2022-01-08T01:21:35Z,440000,33.0,42.0,1,right,MISS J. McDaniels Layup,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,Missed,,5.33,,,,,,,,,,
45,PT08M10.00S,2022-01-08T01:16:06.6Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,9,11,2022-01-08T01:19:26Z,450000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:1),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,44.0,2.0,1.0,1.0,,,,,,
46,PT08M10.00S,2022-01-08T01:16:05.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629020,94.40999984741211,50.0,1610612750,9,11,2022-01-08T01:16:05Z,460000,0.0,0.0,1,right,MISS J. Vanderbilt tip Layup,[1629020],1610612750.0,MIN,tip,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,Missed,,0.0,,,,,,,,,,
47,PT08M09.00S,2022-01-08T01:16:06.8Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,9,11,2022-01-08T01:16:06Z,470000,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:2),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,,,,,,,,,,,,46.0,2.0,2.0,0.0,,,,,,
48,PT08M07.00S,2022-01-08T01:16:08.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629652,32.14520367936925,75.24509803921569,1610612760,12,11,2022-01-08T01:16:14Z,480000,-126.0,250.0,1,left,L. Dort 27' 3PT  (6 PTS) (J. Giddey 1 AST),"[1629652, 1630581]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,Made,6.0,27.98,,,,,J. Giddey,1630581.0,1.0,,,
50,PT07M48.00S,2022-01-08T01:16:28.7Z,1,REGULAR,2pt,Layup,[],1626156,87.72996057818659,31.61764705882353,1610612750,12,13,2022-01-08T01:16:36Z,500000,-92.0,63.0,1,right,D. Russell 11' cutting Layup (4 PTS) (K. Towns 3 AST),"[1626156, 1626157]",1610612750.0,MIN,cutting,,,Russell,D. Russell,,,,,,,,,,,,,Made,4.0,11.13,,,,,K. Towns,1626157.0,3.0,,,
54,PT07M25.00S,2022-01-08T01:16:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630598,7.966491458607096,39.21568627450981,1610612760,14,13,2022-01-08T01:22:47Z,540000,54.0,22.0,1,left,A. Wiggins Layup (4 PTS) (L. Dort 1 AST),"[1630598, 1629652]",1610612760.0,OKC,,,,Wiggins,A. Wiggins,,,,,,,,,,,,,Made,4.0,5.84,,,,,L. Dort,1629652.0,1.0,,,
56,PT07M09.00S,2022-01-08T01:17:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,88.64980289093299,41.42156862745098,1610612750,14,13,2022-01-08T01:17:20Z,560000,-43.0,54.0,1,right,MISS J. Vanderbilt 6' cutting Layup - blocked,"[1629020, 1629652]",1610612750.0,MIN,cutting,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,Missed,,6.91,,,,,,,,Dort,1629652.0,
57,PT07M09.00S,2022-01-08T01:17:10.1Z,1,REGULAR,block,,[],1629652,,,1610612750,14,13,2022-01-08T01:17:14Z,570000,,,0,,L. Dort BLOCK (1 BLK),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,,,,,,,,,,,,,,,,,,,,,
58,PT07M09.00S,2022-01-08T01:17:10.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,14,13,2022-01-08T01:17:20Z,580000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,
59,PT07M09.00S,2022-01-08T01:17:20.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,14,13,2022-01-08T01:17:20Z,590000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PT07M01.00S,2022-01-08T01:17:29.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630183,65.52233902759527,50.245098039215684,1610612750,14,13,2022-01-08T01:18:01Z,600000,1.0,272.0,1,right,MISS J. McDaniels 27' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,Missed,,27.16,,,,,,,,,,
63,PT07M01.00S,2022-01-08T01:17:29.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,14,13,2022-01-08T01:18:01Z,610000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,
